time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB
11/22/2019,6.7,26.42,22.69,60.49,9.66,20.23,63.9,12.28,5.49,7.62,6.5,57.05,35.32,46.77,10.49,88.51,2.11,6.6,10.25,10.89,6.16,36.59,68.9,4.09,51.65,143,73.52,6.59
11/25/2019,6.75,27.08,22.41,61.51,9.68,20.45,63.9,12.01,5.49,7.67,6.51,57.86,35.32,47.25,10.49,87.76,2.11,6.65,10.15,11.01,6.16,36.17,68.68,4.05,51.56,143,74.37,6.59
11/26/2019,6.81,26.99,22.58,60.91,9.7,20.63,63.21,12.1,5.49,7.81,6.59,57.86,35.8,47.41,10.56,86.63,2.11,6.57,10.15,11.08,6.19,36.25,68.75,4.05,51.2,143.3,74.43,6.67
11/27/2019,6.7,26.7,23.03,60.57,9.63,20.59,63.21,12.1,5.33,7.79,6.57,57.45,35.7,46.93,10.45,86.82,2.08,6.52,10.1,11.03,6.19,36.94,68.53,4.07,51.38,143.7,73.89,6.66
11/28/2019,6.61,26.52,22.95,59.8,9.36,20.23,62.47,12.01,5.16,7.79,6.43,56.24,34.38,46.45,10.17,86.63,2.04,6.52,10.1,10.82,6.16,36.51,67.5,4.02,51.42,144.6,73.89,6.54
11/29/2019,6.67,25.58,22.86,59.97,9.36,20.38,62.28,11.93,5.23,7.88,6.44,56.64,34.38,46.13,10.09,85.12,1.98,6.5,10.1,10.82,6.19,36.51,67.72,4,51.42,144.9,73.52,6.58
12/2/2019,6.52,25.67,22.24,58.44,9.06,19.73,60.73,11.93,5.05,7.91,6.22,55.84,34.19,45.41,9.93,86.25,1.95,6.4,10,10.72,6.17,35.74,67.72,4.02,51.11,146.1,71.59,6.36
12/3/2019,6.52,26.14,22.41,56.9,8.97,19.69,60.24,10.7,5.05,8.09,6.27,51.95,34.44,44.77,9.78,86.29,1.98,6.34,9.75,10.65,6.15,35.1,67.64,3.88,51.11,145.4,70.44,6.1
12/4/2019,6.67,26.52,22.78,56.99,9.36,20.02,61.54,11.05,5.39,8.09,6.45,50.58,35.64,45.65,10.01,86.89,2.01,6.5,10.1,11.08,6.19,36.25,67.64,3.98,51.33,145.5,71.89,6.45
12/5/2019,6.64,26.52,22.58,56.48,9.2,19.83,60.73,11.05,5.51,7.97,6.35,50.17,34.88,45.09,9.97,87.31,2.01,6.44,10.05,10.98,6.16,36.29,67.79,3.95,51.47,145.4,71.28,6.4
12/6/2019,6.64,26.7,22.38,56.14,9.29,19.87,60.73,11.05,5.49,8.22,6.35,50.58,34.95,45.17,9.97,87.76,2.01,6.4,10,10.94,6.13,36.34,67.79,3.93,51.51,144.4,70.38,6.4
12/9/2019,6.61,26.8,22.58,56.05,9.22,19.98,61.85,10.87,5.53,8.34,6.24,48.96,34.98,45.09,9.93,88.81,2.01,6.44,9.95,10.77,6.07,36.46,67.79,3.93,51.51,144.5,71.47,6.33
12/10/2019,6.58,26.7,22.52,57.76,9.18,20.05,60.67,10.96,5.47,8.41,6.13,45.8,35.01,44.53,9.74,87.8,1.98,6.3,10.05,10.58,5.99,36.55,67.42,3.91,51.51,143.8,71.53,6.22
12/11/2019,6.61,26.52,22.63,58.01,9.08,20.41,60.8,10.79,5.53,8.41,6.34,45.07,35.64,43.81,9.85,87.8,2.01,6.24,10.05,10.72,5.93,36.76,67.13,3.93,51.51,143.9,71.77,6.28
12/12/2019,6.64,26.52,23.14,58.01,9.22,20.59,60.67,10.87,5.53,8.34,6.34,47.34,35.77,44.21,9.78,87.84,1.98,6.37,10.1,10.94,5.93,37.45,67.2,3.93,51.56,145.2,72.13,6.41
12/13/2019,6.7,26.52,23.65,58.01,9.43,20.63,60.73,10.96,5.52,8.21,6.34,46.93,35.64,44.37,9.74,87.84,1.98,6.3,10.05,10.94,5.93,37.83,65.65,3.95,51.56,144.5,71.4,6.41
12/16/2019,6.64,27.08,23.65,62.02,9.29,20.41,60.86,10.96,5.44,8.19,6.22,45.88,35.7,45.01,9.97,87.76,2.11,6.26,10.05,10.94,5.93,36.81,63.44,3.95,51.47,143,71.83,6.4
12/17/2019,6.58,27.17,23.4,61.6,9.27,20.02,60.42,10.87,5.32,7.98,6.12,45.4,35.73,44.53,9.74,87.76,2.08,6.12,10.05,10.75,5.93,36.51,63,3.95,51.47,142.6,70.86,6.3
12/18/2019,6.49,27.45,23.71,62.28,9.22,20.05,59.19,10.52,5.22,7.78,6.11,45.64,34.69,44.53,9.74,87.76,2.04,6.04,9.94,10.72,5.88,37.11,61.82,3.98,51.47,142.7,71.77,6.28
12/19/2019,6.49,27.64,23.82,61,9.22,20.16,59.37,10.52,5.17,7.86,6.02,44.99,34.69,44.37,9.82,87.76,2.04,5.94,9.93,10.56,5.88,37.66,61.82,4,51.47,142.6,72.43,6.27
12/20/2019,6.55,28.11,24.13,61.85,9.31,20.41,59.5,10.43,5.17,7.93,6.11,44.51,34.91,45.57,9.74,88.17,2.04,6.01,10,10.77,5.93,37.79,62.04,4.02,51.47,142.5,72.62,6.4
12/23/2019,6.58,28.02,25.26,61.43,9.4,20.27,59.37,9.82,5.19,7.95,6.12,41.76,35.01,44.93,9.78,88.36,2.04,6.03,10.2,10.91,5.93,38.9,61.75,4.07,51.42,142.9,71.4,6.32
12/24/2019,6.55,28.11,25.34,59.38,9.43,20.38,59.68,9.21,5.29,8,6.03,44.1,35.1,44.93,9.78,87.76,2.04,6.03,10.1,10.86,5.95,38.52,61.68,4.07,51.33,143.5,71.77,6.3
12/25/2019,6.61,27.74,25.51,58.61,9.43,20.77,60.05,9.47,5.27,7.98,6.11,45.07,35.92,44.93,9.7,87.57,2.04,5.98,10.1,10.86,5.93,38.48,61.68,4.16,51.33,143.8,71.4,6.38
12/26/2019,6.52,28.11,24.95,58.01,9.43,20.74,59.62,9.38,5.23,7.93,6.06,46.12,35.73,44.77,9.66,87.91,2.01,5.99,10.1,10.89,5.98,38.26,62.04,4.14,51.29,143.7,71.41,6.43
12/27/2019,6.55,28.11,26.08,58.7,9.45,20.81,60.12,9.21,5.33,8.12,6.08,46.04,35.8,45.17,9.26,86.82,2.11,5.94,10.15,10.96,5.96,38.73,62.26,4.12,51.2,143.6,72.14,6.43
12/30/2019,6.55,28.11,26.02,59.21,9.63,21.17,59.74,8.94,5.31,8.16,6.09,46.21,35.96,44.85,9.07,86.63,2.11,5.96,10.1,11.08,5.96,39.29,63,4.09,51.11,144.4,71.1,6.46
